plate,Timestamp,Count
10,1687629571,13
10,1687631529,13
10,1687713193,13
10,1687818404,13
10,1687797817,13
10,1687896569,11
10,1687972420,11
10,1688062951,11
10,1688152056,11
10,1688255677,9
10,1688405584,9
10,1688579961,7
10,1688665109,7
11,1687629283,6
11,1687631650,6
11,1687713428,6
11,1687818440,6
11,1687797850,6
11,1687896537,6
11,1687972389,6
11,1688062985,6
11,1688152376,6
11,1688255485,6
11,1688405447,6
11,1688579726,4
11,1688664931,3
11,1689182481,0
12,1687629338,5
12,1687631682,5
12,1687713461,5
12,1687818143,5
12,1687797887,5
12,1687896641,5
12,1687972495,3
12,1688062622,3
12,1688152484,3
12,1688255560,3
12,1688405333,3
12,1688580186,2
12,1688664977,2
12,1689182547,2
12,1689266211,2
12,1689351707,2
12,1689454574,2
13,1687629179,7
13,1687631820,7
13,1687713313,7
13,1687818175,7
13,1687797931,7
13,1687896674,7
13,1687972531,7
13,1688062556,7
13,1688152629,7
13,1688256048,7
13,1688405511,7
13,1688580227,7
13,1688665337,5
13,1689182437,4
13,1689266101,4
13,1689351575,3
13,1689454717,3
13,1689611841,2
13,1689698749,2
13,1689787369,2
13,1689955982,2
13,1690055721,2
13,1690216339,1
13,1690302756,1
14,1687631371,10
14,1687629787,10
14,1687712862,10
14,1687818206,10
14,1687797970,10
14,1687896706,10
14,1687972563,10
14,1688062448,8
14,1688152788,8
14,1688256272,7
14,1688405648,7
14,1688580033,5
14,1688665149,4
14,1689182393,2
14,1689266145,2
14,1689351619,1
14,1689454863,0
15,1687629531,5
15,1687631464,5
15,1687713161,5
15,1687818240,5
15,1687798006,5
15,1687896739,5
15,1687972844,5
15,1688062750,5
15,1688152342,4
15,1688255442,4
15,1688405882,4
15,1688580117,4
15,1688665463,4
15,1689182503,1
16,1687629215,7
16,1687631561,7
16,1687713344,7
16,1687818273,6
16,1687798049,7
16,1687896772,6
16,1687972810,6
16,1688062660,6
16,1688152446,6
16,1688255524,6
16,1688405412,6
16,1688579692,6
16,1688664870,5
16,1689182569,3
16,1689266277,2
16,1689351662,2
16,1689454944,2
16,1689611972,2
17,1687629687,5
17,1687631203,5
17,1687713027,5
17,1687818305,5
17,1687798084,5
17,1687896412,5
17,1687972697,5
17,1688062820,5
17,1688152261,5
17,1688255391,5
17,1688405917,5
17,1688580069,2
17,1688665200,1
17,1689182371,1
17,1689266168,1
17,1689351641,1
17,1689454898,1
17,1689611735,1
17,1689698669,1
18,1687629720,8
18,1687631279,8
18,1687713072,8
18,1687818337,8
18,1687798117,8
18,1687896462,8
18,1687972737,8
18,1688062712,7
18,1688152669,7
18,1688256137,6
18,1688405957,6
18,1688579805,6
18,1688665428,6
18,1689182459,4
18,1689266255,1
18,1689351750,1
19,1687629405,10
19,1687631720,10
19,1687713493,10
19,1687818371,10
19,1687798155,10
19,1687896499,10
19,1687972775,10
19,1688062785,10
19,1688152296,8
19,1688255861,8
19,1688405789,7
19,1688579926,5
19,1688665305,5
19,1689182722,4
19,1689266190,4
19,1689351685,4
19,1689454524,4
19,1689612017,1
19,1689698628,1
19,1689787332,1
19,1689955905,1
19,1690055778,1
19,1690216360,1
19,1690302778,1
1,1687629140,3
1,1687631786,3
1,1687713234,3
1,1687817888,3
1,1687797580,3
1,1687896812,3
1,1687972254,3
1,1688062524,3
1,1688152716,3
1,1688256175,3
1,1688405827,2
1,1688580152,1
1,1688665009,1
2,1687629654,13
2,1687631170,9
2,1687712983,9
2,1687817920,9
2,1687797612,9
2,1687896856,9
2,1687972299,9
2,1688063067,9
2,1688152229,9
2,1688255823,8
2,1688405755,8
2,1688579883,4
2,1688665269,4
2,1689182700,1
4,1687629497,14
4,1687631409,14
4,1687713108,14
4,1687817952,14
4,1687797645,14
4,1687896901,14
4,1687972662,14
4,1688062855,14
4,1688152595,14
4,1688255609,11
4,1688405617,10
4,1688579999,10
4,1688665387,10
4,1689182415,3
4,1689266123,3
4,1689351597,2
4,1689454763,1
4,1689611786,0
4,1689698711,0
6,1687629620,3
6,1687631120,3
6,1687712941,3
6,1687818003,3
6,1687797678,3
6,1687896960,3
6,1687972628,3
6,1688062896,3
6,1688152166,3
6,1688255785,3
6,1688405479,2
6,1688579772,1
6,1688665072,0
7,1687629464,13
7,1687631755,13
7,1687713532,13
7,1687818035,13
7,1687797710,13
7,1687897022,13
7,1687972596,13
7,1688062481,13
7,1688152755,13
7,1688256230,8
7,1688405681,8
7,1688579849,8
7,1688665236,6
8,1687629754,13
8,1687631320,11
8,1687712895,11
8,1687818074,11
8,1687797752,11
8,1687897054,11
8,1687972343,11
8,1688063017,11
8,1688152106,11
8,1688255743,11
8,1688405552,9
9,1687629249,12
9,1687631600,12
9,1687713382,12
9,1687818106,12
9,1687797785,12
9,1687896601,12
9,1687972461,12
9,1688062590,12
9,1688152532,11
9,1688255991,11
9,1688405380,11
9,1688579657,8
9,1688664798,8
9,1689182525,2
9,1689266233,1
9,1689351728,1
9,1689454671,1
9,1689611930,1
9,1689698592,1
9,1689787288,0
