"","Day","status","Genotype","Treatment","Bacteria","N_worms","MeanWLS","lifespan_type","label_"
"47",21,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"48",21,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"49",22,0,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"50",22,0,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"51",22,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"52",22,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"53",22,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"54",23,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"55",24,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"56",25,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"57",26,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"58",34,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"59",34,1,"<i>daf-2</i>","","PAD12",59,17.2352941176471,"","<i>daf-2</i> +  (17.2, 59)"
"60",4,0,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"61",4,0,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"62",4,0,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"63",6,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"64",7,1,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"65",8,0,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
"66",8,0,"N2","","PAD12",68,14.8983050847458,"","N2 +  (14.9, 68)"
